SKU;Produto;Fabricante;CodFabricante;CodMercadocar;CodReferencia;Montadora;Veiculo;Modelo;Versao;Motor;Valvula;Cilindrada;AnoInicio;AnoFim
167278;Filtro de Ar FIAT PALIO (2010 - 2017) - MANN HUMMEL C370011;MANN HUMMEL;C370011;;;FIAT;PALIO;;;;16V;1.6;2010;2017
168511;Amortecedor Traseiro HONDA ACCORD (2005 - 2007) - COFAP GB27653;COFAP;GB27653;;GB27653 | COFAP, 2915100G1081 | HONDA, 341331 | KYB, 341369 | KYB, 0079.0015.0707 | MERCADOCAR;HONDA;ACCORD;;;;24V;3.0;2005;2007
168755;Terminal de Direção RENAULT DUSTER (2011 em diante) Lado Direito - VIEMAR 335423;VIEMAR;335423;0987.0106.0899;335423 | VIEMAR, 8201108339 | RENAULT, 82 01 108 339 | ORIGINAL OEM, 8201108332 | ORIGINAL OEM, 0987.0106.0899 | MERCADOCAR;RENAULT;DUSTER;;;;16V;2.0;2011;
171111;Bateria FORD F-350 (2005 - 2019) 70Ah Polo Lado Direito - HELIAR HF70ND;HELIAR;HF70ND;0778.0205.0008;;FORD;F-350;;;;16V;3.9;2005;2011
172217;Filtro de Combustível CHEVROLET ONIX (2012 - 2021) - WEGA MOTORS FCI1110S;WEGA MOTORS;FCI1110S;;FCI1110S (HENGST), FCI1110S (TECFIL), FCI1110S (FRAM), FCI1110S (FRAM), FCI1110S (VOX), FCI1110S (FIAT ORIGINAL), FCI1110S (F CROSS), FCI1110S (JAC ORIGINAL), FCI1110S (INPECA), FCI1110S (PUROLATOR), FCI1110S (WIX), FCI1110S (VOLVO ORIGINAL), FCI1110S (CHEVROLET ORIGINAL), FCI1110S (CHEVROLET ORIGINAL), FCI1110S (JAPANPARTS), FCI1110S (MAHLE);CHEVROLET;ONIX;;;;8V;1.0;2012;2021
172287;Bateria CHERY QQ (2011 - 2018) 45Ah Polo Lado Esquerdo - HELIAR HG45JE;HELIAR;HG45JE;0778.0205.0019;;CHERY;QQ;;;;16V;1.1;2011;2018
173280;Disco de Freio Dianteiro TOYOTA CAMRY (1999 - 2006) Ventilado - FREMAX BD4125;FREMAX;BD4125;;BD4125 (HIPPER FREIOS), BD4125 (TOYOTA ORIGINAL), BD4125 (LEXUS);TOYOTA;CAMRY;;;;24V;3.0;1999;2006
173391;Cubo de Roda Traseiro FIAT FIORINO (2013 - 2021) com Rolamento com ABS - IRB IR18620;IRB;IR18620;0084.0218.0264;IR18620 | IRB, 51759727 | FIAT, 51965295 | FIAT, 51759727 | FIAT ORIGINAL, AL620 | IMA, 0084.0218.0264 | MERCADOCAR;FIAT;FIORINO;;;;8V;1.4;2013;2021
177599;Junta da Tampa de Válvulas NISSAN GRAND LIVINA (2009 - 2014) Borracha - BASTOS JUNTAS 151760BN;BASTOS JUNTAS;151760BN;0444.0459.0055;151760BN | BASTOS JUNTAS, 903410 | TARANTO, 311650 | ELRING, 11113200 | AJUSA, 13270EN200 | ORIGINAL OEM, 51208140 | ORIGINAL OEM, 7701065111 | ORIGINAL OEM, 75773 | SABO, 0444.0459.0055 | MERCADOCAR;NISSAN;GRAND LIVINA;;;;16V;1.8;2009;2014
177966;Sensor de Rotação HONDA CITY (2005 em diante) - MTE 70578;MTE;70578;;70578 (WELLS), 70578 (DENSO), 70578 (STANDARD), 70578 (AIRTEX), 70578 (FAE), 70578 (HONDA ORIGINAL), 70578 (HONDA ORIGINAL), 70578 (BECK ARNLEY);HONDA;CITY;;;;16V;1.5;2005;
