Product;Synonym
Água Desmineralizada;Água de Bateria, Solução de Bateria, Solução Desmineralizada, Solução para Radiador
Alça de Teto;Alca Externa Cabine, Alca Frontal Cabine, Alca Teto, Pega Mao Capo, Puta que Pariu, Pqp
Anel Sincronizador;Sincronizado Anel
Anti-Chamas;Espuma do Anti Chama, Espuma Filtro Ar, Respiro de Oleo, Separador de Oleo, Válvula Pcv
Aplique de Maçaneta;Capa para Maçaneta
Barra Axial;Axial, Articulação da Caixa, Barra Axial, Braço Axial
Aspirador de Pó;Aspirador de Líquido
Automático do Motor de Partida;Solenoide Motor Partida
Bandejas;Balança
Barra Estabilizadora;Barra Torção
Barra de Direção;Barra Fixa Direção
Barra Limpador Para-Brisa;Haste Limpador
Bendix Motor de Partida;Bendix Motor Partida
Bendix Motor de Partida;Impulsor de Partida
Bobina de Ignição;Bobina Asfáltica, Transformador de Ignição
Bola Cambio;Empunhadura de Câmbio, Manopla Alavanca Câmbio, Manopla do Câmbio, Manopla de Volante para Deficiente, Manopla para Deficiente, Pomo Articulado, Punho Alavanca
Braço Limpador;Braço com Palheta, Braço da Palheta, Braço e Palheta, Braço mais Palheta
Break light;Luz de Freio Auxiliar
Bronzina de Biela;Bronzina Móvel, Casquilho Móvel
Bronzina de Mancal;Bronzina Fixa, Casquilho Fixo
Brucutu;Bico Ejetor de Água, Esguicho de Água, Reparo Lavador
Cabo Antena;Cabo de Antena, Cabo Para Antena
Cabo Auxiliar de Partida;Cabo para Bateria, Cabo de Chupeta, Cabo de Transferencia de Carga, Cabo para Transmissão de Carga
Cabo de Caçamba;Cabo Caçamba, Cabo de Caçamba, Cabo Limitador Tampa, Cabo Tampa Caçamba, Limitador Caçamba, Limitador Tampa Caçamba
Cabo de Bateria;Cabo Bateria, Cordoalha
Calha de Chuva;Calha de Porta, Defletor de Água, Defletor de Chuva
Capa de Estepe;Capa para Cobrir Estepe, Capa para Proteger Estepe
Capa de Retrovisor;Capa Espelho Retrovisor
Capa Pinça de Freio;Capa Para Pinça de Freio, Capa Pinça Freio
Capa de Volante;Capa Para Volante, Capa Volante, Capas do Volante, Capas Para Volante, Capas Volante
Cilindro Mestre;Bomba Freio, Burrinho Mestre, Cilindro Mestre de Freio
Climatizador;Interclima
Disco de Freio;Disco Freio
Espaçador de Roda;Espaçador Para Roda, Espaçador Roda
Estopa;Estopa de Polir, Estopa Para Polir
Filtro de Ar do Motor;Filtro de Bateria, Filtro Para Bateria
Filtro de Cabine;Filtro Anti Polen, Filtro Ar-Condicionado
Fluído de Freio;Fluido para Freio, Óleo de Freio, Óleo Freio
Galão de Paralama;Debrum Paralama
Gancho de Caçamba;Gancho Carroceria, Gancho Caçamba
Cabos de Vela;Jogo Cabos Vela, Cabo Vela
Jogo Juntas do Motor;Juntas Motor Jogo
Kit para Motor;Kit Motor
Lavadora Alta Pressão;Lavadora de Pressão, Vap, Wap
Alavanca Freio de Mão;Maneco Freio
Manga de Eixo;Manga Eixo
Mini Geladeira;Geladeira, Mini Refrigerador, Refrigerador, Amplificador de Som
Motor de Partida Completo;Motor Arranque, Motor de Arranque, Motor Partida
Para-Choque Automotivo;Capa Parachoque, Envolvente, Quebra Mato
Porta Objeto;Porta Lata
Caixa/Tampa de Fusível;Porta Fusível
Protetor de Porta;Protetor Porta
Quadro de Suspensão;Agregado Suspensão, Agregado de Suspensão
Regulador de Voltagem;Regulador Tensão
Rotor do Distribuidor;Cachimbo do Distribuidor
Sensor Fluxo de Ar (MAF);Medidor Fluxo Ar, Sensor Fluxo Ar
Servo Freio;Cuica de Freio do Cilindro Mestre, Hidrovácuo
Tambor de Freio;Campana de Freio, Panela de Freio
Tapa CD;Tapa Buraco Cd, Tapa Buraco Som, Tapa Som
Torno;Morça, Torno de Bancada
Radiadores;Válvula Recirculação Gás Escape
Virabrequim;Arvore de Manivelas
