Product;Synonym
Acabamento da Moldura;moldura decorativa, revestimento de moldura, detalhe de acabamento
Acabamento de Roda;acabamento de roda, calota, capa de roda
Adaptador de Soquete;conversor de encaixe, adaptador para encaixe de soquete, redutor de encaixe
Adaptador para Antena;conector de antena, adaptador de sinal, conversor de antena
Adaptador para Ipod;adaptador para dispositivos apple, adaptador de conexão para ipod, adaptador de áudio para ipod
Adaptador para Soquete;conversor de encaixe, adaptador de encaixe de soquete, redutor de encaixe
Adaptador Y da Mangueira do Reservatório;conector em y, adaptador em t, conexão em y
Adesivo;cola, adesivo, aderente, fixador, selador
Adesivo Araldite;araldite original, resina epóxi, cola epóxi
Adesivo Cola Parachoque;cola para carroceria
Adesivo Cola Veda Escapamento;adesivo para escapamento
Adesivo em Spray;spray adesivo, cola em aerossol, adesivo em lata
Adesivo Fixa Espelho;adesivo para espelho, cola para vidro
Adesivo Instantâneo;super bonder, cola instantânea, adesivo cianoacrilato
Adesivo Junta Motor de Alta Temperatura;cola de alta temperatura para motor, adesivo para vedação de motor, cola para junta de cabeçote
Adesivo Multi Vedante;adesivo selante, cola vedante, selante multiuso
Adesivo para Artesanato;cola para artesanato, adesivo para papel, cola para scrapbook
Adesivo Silicone;cola de silicone, adesivo de silicone, selante de silicone
Adesivo Veda Escape;adesivo para escapamento, cola para vedação de metais
Aditivo Anticorrosivo;aditivo de proteção para radiador, aditivo para evitar corrosão, aditivo anticorrosivo
Aditivo Anticorrosivo para Motor Diesel;aditivo inibidor de corrosão para diesel, aditivo protetor anticorrosivo para motor a diesel, aditivo antioxidante para motor diesel
Aditivo Condicionador Metais;aditivo protetor para metais, aditivo para melhorar desempenho de metais, aditivo para conservação de metais
Aditivo de Combustível;aditivo de gasolina, aditivo para diesel, aditivo para combustível
Aditivo de Diesel Agroprotetivo;aditivo protetor agropecuário para diesel, aditivo agroquímico para diesel, aditivo de proteção ambiental para diesel
Aditivo de Limpeza Interna para Motor;aditivo para limpeza de motor, aditivo detergente para motor, aditivo para remoção de resíduos no motor
Aditivo de Motor para Limpeza Interna;aditivo para limpeza interna do motor, aditivo para desobstrução de canalizações no motor, aditivo para remoção de incrustações no motor
Aditivo de Radiador;aditivo para arrefecimento, aditivo para sistema de arrefecimento, aditivo para líquido de arrefecimento
Aditivo de Radiador Antiferrugem;aditivo para evitar ferrugem no radiador, aditivo antiferrugem para radiador, aditivo de proteção para radiador
Aditivo de Radiador Antirust;aditivo para radiador antiferrugem, aditivo antirust para radiador, aditivo de proteção para radiador
Aditivo de Radiador Concentrado;aditivo concentrado para radiador, aditivo de alta concentração para radiador, aditivo para radiador puro
Aditivo Diluído para Radiador;aditivo para radiador pronto para uso, aditivo de baixa concentração para radiador, aditivo para radiador já diluído
Aditivo Kit Arrefecimento;kit com aditivos para arrefecimento, kit com soluções para radiador, kit para manutenção do sistema de arrefecimento
